id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
1,ɑ,A,,false,VOWEL,2073227
5,n,n,,false,CONSONANT,250181
14,ɪ,I,,false,VOWEL,142154
3,ŋ,N,,false,CONSONANT,110071
2,s,s,,false,CONSONANT,107870
7,t,t,,false,CONSONANT,98700
6,ɔ,O,,false,VOWEL,74880
15,k,k,,false,CONSONANT,71060
13,l,l,,false,CONSONANT,70584
4,iː,i,,false,VOWEL,51834
236,ɑː,A:,,false,VOWEL,50054
16,m,m,,false,CONSONANT,46924
20,b,b,,false,CONSONANT,39639
9,p,p,,false,CONSONANT,38793
11,u,u,,false,VOWEL,37800
10,j,j,,false,CONSONANT,26848
22,g,g,,false,CONSONANT,14304
12,r,r,,false,CONSONANT,12771
17,d,d,,false,CONSONANT,10416
19,h,h,,false,CONSONANT,8587
23,w,w,,false,CONSONANT,5668
21,ɛ,E,,false,VOWEL,1888
238,uː,u:,,false,VOWEL,1269
237,ɔː,O:,,false,VOWEL,1130
24,ʃ,S,,false,CONSONANT,518
38,ə,@,,false,VOWEL,300
239,ɛː,E:,,false,VOWEL,84
41,ɲ,J,,false,CONSONANT,41
33,tʃ,tS,,false,CONSONANT,24
27,.,.,,false,,0
30,aʊ,aU,,false,VOWEL,0
31,dʒ,dZ,,false,CONSONANT,0
32,f,f,,false,CONSONANT,0
28,r̩,r_=,,false,CONSONANT,0
34,v,v,,false,CONSONANT,0
26,z,z,,false,CONSONANT,0
35,æ,{,,false,VOWEL,0
36,ð,D,,false,CONSONANT,0
25,ɑɪ,AI,,false,VOWEL,0
37,ɔɪ,OI,,false,VOWEL,0
39,əʊ,@U,,false,VOWEL,0
40,ɛɪ,EI,,false,VOWEL,0
42,ɾ,4,,false,CONSONANT,0
43,ʊ,U,,false,VOWEL,0
44,ʌ,V,,false,VOWEL,0
45,ʒ,Z,,false,CONSONANT,0
29,ʔ,?,,false,VOWEL,0
18,ˈ,,,false,,0
46,ˌ,%,,false,,0
8,ː,:,,false,,0
47,θ,T,,false,CONSONANT,0
